"series","ts","value","version"
"dendrometer1_ch3",2019-05-31 23:00:00,8336.181641,1
"dendrometer1_ch3",2019-05-31 23:10:00,8336.181641,1
"dendrometer1_ch3",2019-05-31 23:20:00,8336.108398,1
"dendrometer1_ch3",2019-05-31 23:30:00,8335.571289,1
"dendrometer1_ch3",2019-05-31 23:40:00,8335.571289,1
"dendrometer1_ch3",2019-05-31 23:50:00,8335.571289,1
"dendrometer1_ch3",2019-06-01 00:00:00,8335.571289,1
"dendrometer1_ch3",2019-06-01 00:10:00,8335.571289,1
"dendrometer1_ch3",2019-06-01 00:20:00,8335.571289,1
"dendrometer1_ch3",2019-06-01 00:30:00,8335.571289,1
"dendrometer1_ch3",2019-06-01 00:40:00,-99999,1
"dendrometer1_ch3",2019-06-01 00:50:00,-99999,1
"dendrometer1_ch3",2019-06-01 01:00:00,-99999,1
"dendrometer1_ch3",2019-06-01 01:10:00,8336.181641,1
"dendrometer1_ch3",2019-06-01 01:20:00,8336.181641,1
"dendrometer1_ch3",2019-06-01 01:30:00,8336.181641,1
"dendrometer1_ch3",2019-06-01 01:40:00,8336.181641,1
"dendrometer1_ch3",2019-06-01 01:50:00,8336.181641,1
"dendrometer1_ch3",2019-06-01 02:00:00,NA,1
"dendrometer1_ch3",2019-06-01 02:10:00,NA,1
"dendrometer1_ch3",2019-06-01 02:20:00,NA,1
"dendrometer1_ch3",2019-06-01 02:30:00,NA,1
"dendrometer1_ch3",2019-06-01 02:40:00,NA,1
"dendrometer1_ch3",2019-06-01 02:50:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:00:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:10:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:20:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:30:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:40:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 03:50:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 04:00:00,8336.791992,1
"dendrometer1_ch3",2019-06-01 04:10:00,8336.864217,1
"dendrometer1_ch3",2019-06-01 04:20:00,8337.402344,1
"dendrometer1_ch3",2019-06-01 04:30:00,8337.402344,1
"dendrometer1_ch3",2019-06-01 04:40:00,8337.402344,1
